id;carrier_claim;amount;cheque_number;cheque;date
1;Licensed New York;5712;convergence Applications transmit;visualize multi-byte;2020-01-13T10:48:41
2;Auto Loan Account quantifying;45792;clicks-and-mortar Configuration access;Bedfordshire Washington website;2020-01-13T10:04:29
3;generating;94804;Practical Fresh Keyboard fresh-thinking;Team-oriented parsing;2020-01-13T02:37:01
4;Movies Savings Account XSS;36714;quantify Credit Card Account withdrawal;niches Music dynamic;2020-01-12T15:23:12
5;Portugal;36325;virtual;SDD Liaison;2020-01-13T07:35:35
6;transmitter exploit hacking;38063;Flats Executive transmitting;payment Investment Account;2020-01-12T16:51:36
7;infrastructures;99133;Montana;repurpose Rubber Manager;2020-01-12T14:04:30
8;Gorgeous Wooden Shoes;38488;Supervisor Practical Salad;Rubber;2020-01-12T20:48:49
9;Fantastic Metal Computer Cotton THX;15744;JSON deposit Health;Handmade compressing Handmade Soft Chicken;2020-01-12T21:19:55
10;deposit Corporate Refined;40216;transmit Nevada;Open-source Assistant;2020-01-13T00:54:21
