id;amount;cheque;date
1;76303;Cote d'Ivoire navigating Burg;2020-01-12T17:57:17
2;51666;open-source;2020-01-12T11:49:41
3;81490;Officer incubate;2020-01-13T08:39:55
4;92804;infrastructure Integrated;2020-01-12T21:06:09
5;68477;parsing;2020-01-13T01:22:48
6;59591;synthesizing Texas incentivize;2020-01-12T18:02:15
7;54293;Practical;2020-01-12T23:18:02
8;38383;Borders Incredible;2020-01-12T17:51:00
9;36325;transparent ADP definition;2020-01-12T17:26:24
10;33811;connect SSL integrate;2020-01-13T08:01:04
