id;start_date;end_date;language
1;2020-01-08T06:05:11;2020-01-08T03:55:26;SPANISH
2;2020-01-07T10:55:22;2020-01-08T05:59:47;SPANISH
3;2020-01-08T01:50:41;2020-01-07T12:24:50;FRENCH
4;2020-01-07T17:08:12;2020-01-08T04:39:38;FRENCH
5;2020-01-08T02:38:30;2020-01-08T07:25:29;FRENCH
6;2020-01-07T20:30:51;2020-01-08T08:39:05;FRENCH
7;2020-01-07T22:16:11;2020-01-07T16:07:02;FRENCH
8;2020-01-07T21:12:24;2020-01-08T07:28:32;SPANISH
9;2020-01-07T19:53:33;2020-01-07T16:34:56;SPANISH
10;2020-01-08T04:05:37;2020-01-07T14:40:07;SPANISH
