id;received_date;mailed_date;created_date;updated_date;tracking_number;subject;description;notify_customer;missing_documents
1;2020-01-09T06:51:29;2020-01-08T15:51:37;2020-01-09T05:26:24;2020-01-08T23:31:02;Creative quantify Mews;deposit Officer;Australian Dollar Palau interface;true;true
2;2020-01-08T14:15:34;2020-01-08T17:15:32;2020-01-08T12:58:06;2020-01-09T12:06:25;disintermediate connecting programming;RSS South Carolina parse;transmit end-to-end Associate;true;true
3;2020-01-09T05:03:14;2020-01-09T00:03:35;2020-01-09T01:50:34;2020-01-08T21:51:46;standardization;Future;red;true;false
4;2020-01-08T23:01:18;2020-01-08T13:53:48;2020-01-08T13:36:01;2020-01-09T07:51:43;Seamless New Leu;Administrator Tasty Estate;PNG Stream;false;true
5;2020-01-09T06:32:23;2020-01-09T03:37:37;2020-01-09T03:46:29;2020-01-08T18:21:37;website Industrial;Engineer indigo;Philippine Peso Kina;true;true
6;2020-01-09T07:23:21;2020-01-09T12:39:42;2020-01-08T14:12:48;2020-01-09T03:28:21;Manors;visionary Practical;Manager Slovakia (Slovak Republic) California;true;false
7;2020-01-09T04:00:44;2020-01-08T17:09:19;2020-01-09T04:20:01;2020-01-08T14:13:17;array;bandwidth;Gorgeous Rubber Cheese 1080p Outdoors;true;true
8;2020-01-09T00:15:26;2020-01-09T12:14:06;2020-01-08T21:48:20;2020-01-09T11:21:25;Table invoice;Towels Down-sized;Money Market Account Central Shoes;true;false
9;2020-01-08T13:02:31;2020-01-09T05:42:09;2020-01-08T17:33:55;2020-01-08T16:36:55;Bacon;withdrawal white Clothing;capacitor;true;false
10;2020-01-08T21:50:19;2020-01-09T10:38:34;2020-01-09T10:58:55;2020-01-08T22:25:27;Tuna;Principal Berkshire Fantastic;Automotive violet Nauru;true;false
